title,type,start_date,end_date,place,location,price,contact,url,image,description
제17회 꿈의 대화,기타,2025-08-17,2025-08-24,,부산,,부산광역시청전시실 051-888-5663,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57306,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921324575008.jpg,<p>자세한 정보는 '바로가기' 링크를 통해 확인하시기 바랍니다.</p>
[부산] 악몽의 엘레베이터,기타,2025-08-14,2025-09-07,,부산,,-,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57293,http://www.culture.go.kr/upload/rdf/25/08/rdf_202508182120801945.jpg,<p>자세한 정보는 '바로가기' 링크를 통해 확인하시기 바랍니다.</p>
"하나의 바다, 열 개의 마음",전시,2025-08-19,2025-09-07,,부산,,전시팀 051-550-8824,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57359,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921324294725.jpg,"<p>부산해양자연사박물관은 8월 19일부터 9월 7일까지 해양수산전시관네트워크 공동순회전 &lt;하나의 바다, 열 개의 마음&gt;을 개최합니다. </p>
<p><br /></p>
<p></p>
<p><br /></p>
<p>이번 전시는 해양수산전시관네트워크 10주년을 기념한 공동순회전시로</p>
<p><br /></p>
<p>국립해양박물관에서 7월 15일부터 8월 10일까지 개최된 후 우리 박물관에서 두 번째로 개최됩니다.</p>
<p><br /></p>
<p>이후 국립해양생물자원관(충남 서천), 국립울진해양과학관(경북 울진), 장생포고래박물관(울산), 국립인천해양박물관(인천) 등</p>
<p><br /></p>
<p><br /></p>
<p>전국의 해양수산전시관네트워크 회원기관에서 개최될 예정이다.</p>
<p><br /></p>"
바통터치!(Baton Touch! : A Relay of Connection),기타,2025-08-15,2025-08-22,,,,https://www.instagram.com/baton.touch.2025/,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57352,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921323670015.jpg,<p>자세한 정보는 '바로가기' 링크를 통해 확인하시기 바랍니다.</p>
2025 찾아가는 전시회 [채움]展(2차),전시,2025-08-18,2025-08-22,,경기,,오산문화재단 031-379-9944,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57357,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921324372048.jpg,<p>자세한 정보는 '바로가기' 링크를 통해 확인하시기 바랍니다.</p>
2025 VIDAK [Again 815]: 광복 80주년 기념 국제 교류전,전시,2025-08-15,2025-08-22,,서울,,02-2153-0000,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57351,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921323695995.jpg,"<p>2025년, 대한민국은 광복 80주년을 맞이합니다. 80년 전, 1945년 8월 15일은 일제강점기에서 벗어나 민족의 자주와 자유를 되찾은 역사적인 날이며, 대한민국이라는 나라가 국민의 힘으로 시작될 수 있었던 출발점이기도 합니다. 광복은 단순히 식민 지배로부터의 해방이 아니라, 언어와 문화를 되찾고, 정체성을 회복하며, 민족 공동체로서의 미래를 스스로 개척해 나간다는 의미를 내포하고 있습니다. 이번 주제의 키워드는 [Again 815] 입니다. [815]는 단순한 숫자가 아니라 상징입니다. 이 숫자는 기억의 문이자 상상력의 기폭제이며, &lsquo;과거에서 배우고 현재를 질문하며 미래를 설계하는&rsquo; 창의적 시간의 좌표입니다. 전시에 참여하는 디자이너들은 이 숫자 안에 각자의 서사를 녹여내고, 이를 통해 다양한 형태의 &lsquo;자유&rsquo;와 &lsquo;연결&rsquo;에 대해 디자인을 통해 이야기합니다.</p>
<div><br /></div>"
권요안 피아노 독주회: The Chopin,기타,2025-08-22,2025-08-22,,,,-,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57314,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081821202723903.gif,<p>자세한 정보는 '바로가기' 링크를 통해 확인하시기 바랍니다.</p>
피아니스트 데이지 피아노 독주회,기타,2025-08-22,2025-08-22,,서울,,02-522-3147,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57312,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081821194478070.gif,"<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);"">프로그램 </span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""></span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""></span><span style=""color: rgb(0, 0, 0);"">J.</span><span style=""color: rgb(0, 0, 0);""> </span><span style=""color: rgb(0, 0, 0);"">S. Bach</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);"">- &lsquo;Arioso&rsquo; from Concerto No. 5 in F Minor, BWV 1056</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""></span><span style=""color: rgb(0, 0, 0);"">- Bach/Marcello: &lsquo;Adagi</span><span style=""color: rgb(0, 0, 0);"">o&rsquo; from Concerto in D Minor, BWV. 974</span><span style=""color: rgb(0, 0, 0);""></span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""></span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""></span><span style=""color: rgb(0, 0, 0);"">W. A. Mozart</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);"">""Ah, vous dirai-je, Maman"" in C Major, KV. 265 from 12 Variations</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);"">(&lsquo;</span><span style=""color: rgb(0, 0, 0);"">반짝 반짝 작은별</span><span style=""color: rgb(0, 0, 0);"">&rsquo; &lt;</span><span style=""color: rgb(0, 0, 0);"">아</span><span style=""color: rgb(0, 0, 0);"">, </span><span style=""color: rgb(0, 0, 0);"">어머니</span><span style=""color: rgb(0, 0, 0);"">, </span><span style=""color: rgb(0, 0, 0);"">들어주세요</span><span style=""color: rgb(0, 0, 0);"">!&gt; </span><span style=""color: rgb(0, 0, 0);"">주제에 의한 변주곡</span><span style=""color: rgb(0, 0, 0);"">)</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""></span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""></span><span style=""color: rgb(0, 0, 0);"">L. v. Beethoven</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);"">- Sonata 'Path&eacute;tique(</span><span style=""color: rgb(0, 0, 0);"">비창</span><span style=""color: rgb(0, 0, 0);"">)' No. 8, Op. 13, Adagio cantabile</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);"">- Sonata 'Moonlight(</span><span style=""color: rgb(0, 0, 0);"">월광</span><span style=""color: rgb(0, 0, 0);"">)' No. 14 Op. 27, Adagio sostenuto</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);"">- Sonata No. 31 Op. 110, Moderato cantabile molto espressivo</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""></span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""></span><span style=""color: rgb(0, 0, 0);"">Intermission</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""></span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""></span><span style=""color: rgb(0, 0, 0);"">F. Chopin</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);"">- Nocturne Op. posth, No 20 in C-sharp Minor</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);"">- Nocturne Op. 9, No. 1 in B flat Minor</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);"">- Nocturne Op. 9, No. 2 in E flat Major</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""></span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""></span><span style=""color: rgb(0, 0, 0);"">F. Liszt    Consolations (</span><span style=""color: rgb(0, 0, 0);"">위안</span><span style=""color: rgb(0, 0, 0);"">) S. 172, No. 3</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);"">C. Debussy     Suite Bergamasque III. Clair De Lune (</span><span style=""color: rgb(0, 0, 0);"">달빛</span><span style=""color: rgb(0, 0, 0);"">)</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);"">M. Ponce    Intermezzo No. 1 in E Minor</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""></span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""></span><span style=""color: rgb(0, 0, 0);"">P. I. Tchaikovsky   The Seasons Op.37a 'October' Autumn Song (10</span><span style=""color: rgb(0, 0, 0);"">월</span><span style=""color: rgb(0, 0, 0);"">, </span><span style=""color: rgb(0, 0, 0);"">가을의 노래</span><span style=""color: rgb(0, 0, 0);"">)</span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);"">S. Rachmaninoff   Rhapsody on a Theme of Paganini, Op. 43 - Var. 18</span></p>
<p style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""><br /></span></p>
<p class=""0"" style=""line-height: 160%;""><span style=""color: rgb(0, 0, 0);""> </span><span style=""color: rgb(0, 0, 0);"">""The 18th Variation"" arranged for piano solo</span><span style=""color: rgb(0, 0, 0);""></span></p>"
트리오 엠 정기연주회,공연,2025-08-22,2025-08-22,,,,위드클래식 070-4324-6360,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57296,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081821204734892.gif,"<p><span style=""font-weight: bold;"">[PROGRAM]</span></p>
<p><br /></p>
<p><br /></p>
<p>Ludwig van Beethoven Piano Trio No. 5 in D major, Op. 70 No. 1 &ldquo;Ghost&rdquo;</p>
<p>Ⅰ. Allegro vivace e con brio</p>
<p>Ⅱ. Largo assai ed espressivo</p>
<p>Ⅲ. Presto</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>Fazıl Say - Space Jump for Piano Trio, Op.46 (2013)</p>
<p>Ⅰ.Andantino meditativo</p>
<p>Ⅱ. Allegro maestoso</p>
<p>Ⅲ. Maestoso</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>Pause</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>Dmitri Shostakovich Piano Trio No. 2 in E minor, Op. 67</p>
<p>Ⅰ Andante - Moderato</p>
<p>Ⅱ. Allegro con brio</p>
<p>Ⅲ. Largo</p>
<p>Ⅳ. Allegretto - Adagio</p>
<p><br /></p>"
"고지도, 독도를 말하다",전시,2025-08-15,2026-02-13,,부산,,054-790-6436,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57353,http://www.culture.go.kr/upload/rdf/25/08/show_20250820140414158.jpg,"<p>울릉군 수토역사전시관은 (재)독도재단과 함께 수토역사전시관 3층 특별전시실에서 2025년 8월 15일부터 2026년 2월 13일까지 공동기획전 &ldquo;고지도, 독도를 말하다&rdquo;를 개최한다. 이번 전시는 두 기관이 광복 80주년을 맞이 하여 고지도를 통해 독도에 대한 역사적 인식이 시대에 따라 어떻게 변화해 왔는지 살펴보고, 일본의 불법적인 독도 침탈 과정을 조명하여 국민의 지속적인 관심과 주권 의식을 고취하기 위해 기획되었다.</p>
<p>&nbsp;</p>
<p>특히 이번 전시는 공동주최기관인 (재)독도재단이 기탁한 181건의 고지도 및 고문헌을 활용하여 기획되었다. 기탁유물은 유물이 시사하는 의미에 따라 5개의 주제로 분류하였으며, 총 36점의 귀중한 실물자료가 소개된다.</p>
<p>&nbsp;</p>
<p>첫 번째 섹션 &lsquo;조선의 바다를 지도에 담다&rsquo;에서는 서양에서 제작된 고지도를 통해 동해를 조선 고유의 해양영토로 인식하고 있는 당시 서양인들의 시각을 보여준다. 그러나 메이지 유신 이후 일본은 이 바다의 명칭을 &lsquo;일본해&rsquo;로 표기한 지도를 서양에 전파하면서 조선의 해양영토를 침탈해가는 양상을 이번 전시를 통해 확인할 수 있다.</p>
<p>&nbsp;</p>
<p>두 번째 섹션 &lsquo;조선의 영토로 인식하다&rsquo;에서는 일본에서 제작된 고지도를 통해 일본이 독도를 조선 고유의 영토로 인식하고 있었음을 살펴본다. 해당 섹션에서 소개되는「일로청한명세신도」, 「대일본전도」등의 고지도에서는 울릉도와 독도가 조선의 영역에 포함되어 있어, 당시 일본이 두 섬을 조선의 영토로 인식했음을 보여준다.</p>
<p>&nbsp;</p>
<p>세 번째 섹션 &lsquo;서양의 탐사, 동해를 향하다&rsquo;에서는 서양이 울릉도와 독도를 처음 인식한 이후, 다즐렛(Dagelet), 리앙쿠르 락스(Liancourt Rocks), 호넷(Hornet) 등 다양한 명칭으로 기록했던 당시 서양의 지도를 소개한다. 또한 작도법의 오류로 인하여 아르고노트(Argonaut)라는 허구의 섬이 동해에 표기되면서 일본인들이 해양영토를 혼동하여 제작한 「최근상밀만한지도」등의 지도들도 전시된다.</p>
<p>&nbsp;</p>
<p>네 번째 섹션 &lsquo;울릉도와 독도, 이름이 뒤바뀌다&rsquo;에서는 일본이 서양의 지도를 수용하는 과정에서 발생한 지리적 혼란을 일본의 지도 사례를 통해 볼 수 있다. 특히 일본이 울릉도와 독도의 위치와 섬의 수를 혼동하여 표기한 「대일본국도」는 일본이 동해에 위치한 한국의 해양영토를 불명확하게 인식했음을 보여주는 대표적인 사례이다.</p>
<p>&nbsp;</p>
<p>다섯 번째 섹션은 &lsquo;일본, 지도에 독도를 삼키다&rsquo;로 일본이 독도를 불법적으로 자국의 영토로 편입시키는 과정을 보여준다. 「개정일본여지노정전도」와 「시마네현 지도」에서는 수차례의 개정을 통하여 독도를 일본의 영토로 표기하는데, 이는 일본의 노골적인 독도 침략 과정을 보여주는 사례로서 가치가 높다.</p>
<p>&nbsp;</p>
<div><br /></div>"
확장된다 reconstitution,전시,2025-08-12,2025-08-31,,광주,,062-453-7500,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57348,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921324305885.jpg,"<p>전시 정보</p>
<p><br /></p>
<p>-전시제목: 확장된다/ reconstitution</p>
<p><br /></p>
<p>-작가정보 (참여작가) : 우연재 (Woo Yunjae), 이상민 (Lee Sangmin Tang), 이소의(Lee Soeui)</p>
<p><br /></p>
<p>-전시기간 : 2025년 08월 12일 &ndash; 31일</p>
<p><br /></p>
<p>-관람가능시간 및 휴관일 :&nbsp; 화요일 &ndash; 일요일 : am 11:00 &ndash; pm 05:00</p>
<p><br /></p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 월요일, 공휴일&nbsp; : 휴관</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>-주최/기획 : schengen gallery</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>-입장료/관람료 : 없음</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>-초대일시 : 없음</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>-전시장 정보</p>
<p><br /></p>
<p>갤러리명 : 솅겐 갤러리 schengen gallery</p>
<p><br /></p>
<p>주소 : 광주광역시 동구 동명동 72 -16, 3층/ 동구 동계천로 143-6, 3층</p>
<p><br /></p>
<p>홈페이지주소 : <a href=""http://www.schengenartgallery.com"">www.schengenartgallery.com</a></p>"
서울연구원 SeMA 컬렉션 라운지 1호,기타,2024-11-13,2025-11-12,,서울,,02-2124-8974,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57304,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921324594965.jpg,<p>자세한 정보는 '바로가기' 링크를 통해 확인하시기 바랍니다.</p>
4.3과 그리움,기타,2025-08-17,2025-08-30,,제주,,-,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57355,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921323465461.jpg,"<p>마음 깊은 곳의 그리움을 불러본다. 제주의 4&middot;3을 마음으로 느끼고, 우리 마음 깊은 곳에 숨어있는 그리움을 불러보고자 한다. 나는 제주 중산간에 자리한 가시리 마을에서 태어나고 자랐다. 어릴 적부터 부모님을 도와 농사일을 했고, 집 안팎의 대소사와 친척 집 제사에 참석하는 것 또한 일상이었다. 가시리 마을에는 한날한시에 돌아가신 분들이 많아서 온 동네가 제사인 날도 있었다. &ldquo;오늘 시께 많주게&rdquo;, ""밤인디 온 동네 불 켜졍 훤해여""라며 어른들이 하던 얘기를 들었었고 친구들 사이에서 ""너네 집도 시께냐""고 물었던 기억이 아직도 생생하다.</p>
<p><br /></p>
<p>지천명이라고 얘기하는 50이 되기 전까지 4&middot;3은 아주 오래전에 벌어졌었던 일이라고 생각하고 큰 의미를 두지 않고 넘겨버리곤 했었다. 이제 반백살을 넘기고 부모님을 모두 보내고 나서야 지나온 세월이 야속하게도 부모님이 살아온 삶이 너무도 힘들고 가슴 아팠다는 것을 직시하게 되었다. 나의 외할아버지와 외증조부께서는 4&middot;3 때 억울하게 희생당하셨다. 어머니께서는 돌아가시기 전까지도 우리에게 외할아버지에 관한 얘기를 한 번도 하지 않으셨고 그 아픔을 가슴에 묻고 가셨다.</p>
<p><br /></p>
<p>나는 우리 가시리마을 사람들이 어디에서 어떻게 희생당하셨는지 알아보고자 '순희 삼촌' 어른들을 찾아뵙고 얘기를 듣게 되었다. 그날의 처참하고 가슴 아픈 실상을 직접 들어보니 그동안 내가 너무 몰라 미안했고, 죄책감이 들게 되었다. 그래서 내가 해야 할 일이 바로 이런 것들을 표현하고 알리는 것이란 생각이 들었다.</p>
<p><br /></p>
<p>제주에서 나고 자란 제주 사람들이라면 항상 가슴 깊은 곳 어딘가에 묻고 지내왔던 4&middot;3에 대한 애절한 마음이 있다. 시간이 흘러도 우리가 살아온 삶 속에 예술이 있고, 문화와 전통이 이어져 왔다. 나는 어머니께서 가슴에 묻어두었던 아픈 사연을 머리카락과 물감으로 캔버스에 담아 그리운 어머니와 4&middot;3으로 아픔을 간직하신 그분들께 자그마한 위로를 건네보고자 한다.</p>"
[리아트센터] 붉은 위로:잊혀진 이름을 부르다,전시,2025-08-11,2025-08-30,,광주,,리아트센터 062-222-8386,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57305,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921324486496.jpg,"<p><br /></p>
<p>안녕하십니까.&nbsp;</p>
<p><br /></p>
<p>광주광역시 동구 궁동 중앙초등학교 후문 앞 리아트센터입니다.&nbsp;</p>
<p><br /></p>
<p>8/14(목) 오후 4시, &lsquo;일본군 위안부 피해자 기림의 날&rsquo;을 맞아 《붉은 위로: 잊혀진 이름을 부르다》展 오픈식을 개최합니다.</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>김진남, 성유진 두 작가가 오랜 시간 정성을 다해 준비한 이번 전시는 일본군 &lsquo;위안부&rsquo; 피해자들의 고통과 기억을 예술로 승화하고,&nbsp;</p>
<p><br /></p>
<p>그분들의 목소리를 기억하며 위로와 존엄의 메시지를 나누고자 기획되었습니다.</p>
<p><br /></p>
<p>이 뜻깊은 자리에 귀한 걸음 하시어 전시의 의미를 더욱 깊게 만들어주시길 진심으로 바랍니다.</p>
<p><br /></p>
<p>감사합니다.</p>
<p><br /></p>
<p>&nbsp;</p>"
[수봉IN기획전시] 방구석판타지 랜드 - 곽미엘,전시,2025-08-19,2025-08-29,,인천,,인천수봉문화회관 032-868-7196,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57308,http://www.culture.go.kr/upload/rdf/25/08/show_202508209303959748.PNG,<p>자세한 정보는 '바로가기' 링크를 통해 확인하시기 바랍니다.</p>
Dream : 보이는 것 너머에,기타,2025-08-02,2025-08-29,,부산,,부산광역시교육청학생예술문화회관 051-403-3467,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57343,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921324256590.jpg,<p>자세한 정보는 '바로가기' 링크를 통해 확인하시기 바랍니다.</p>
내면의 풍경,기타,2025-08-01,2025-08-28,,부산,,남구청년창조발전소 051-607-3666~3667,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57341,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921323684638.jpg,<p>자세한 정보는 '바로가기' 링크를 통해 확인하시기 바랍니다.</p>
금샘갤러리 기획전시 5 <역발상적 오브제>,전시,2025-07-03,2025-08-28,,부산,,금샘도서관 051-519-5911,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57339,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921324300110.jpg,<p>자세한 정보는 '바로가기' 링크를 통해 확인하시기 바랍니다.</p>
강릉수채화협회 정기전,기타,2025-08-19,2025-08-24,,강원,,-,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57358,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921324258238.jpg,<p>자세한 정보는 '바로가기' 링크를 통해 확인하시기 바랍니다.</p>
나는 꽃이다,기타,2025-08-17,2025-08-24,,부산,,부산광역시청 전시실 051-888-5663,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57356,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921324342244.jpg,<p>자세한 정보는 '바로가기' 링크를 통해 확인하시기 바랍니다.</p>
남도인사 전각전 南道印社 篆刻展,전시,2025-08-12,2025-08-24,,광주,,062-410-6642,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57347,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921323528723.jpg,"<p>○전시명: 남도인사 전각전 ""南道印社 篆刻展""</p>
<p>○장 소: 1층 기획전시실</p>
<p>○기 간: 2025. 08. 12.(화) ~ 08. 24.(일)</p>
<p>※ 개전식: 08. 16.(토) 11:00</p>
<p>※ 휴관일: 08. 15.(금), 08. 18.(월)</p>
<p>○전시분야 및 작품수: 남도인사 전각전</p>"
타인의 삶,전시,2025-08-09,2025-08-24,,부산,,-,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57345,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921323574395.jpg,"<p>최여정 개인전 - 타인의 삶</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>&ldquo;타인의 풍경 속에서 나를 마주하다&rdquo;</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>최여정 개인전 &lt;타인의 삶&gt;, 낭만시간연구소 &lsquo;낭만!처음,전시.&rsquo; 신진작가 공모 선정 작가전 개최</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>낭만시간연구소 신진작가 공모 선정 작가 최여정의 첫 개인전 &lt;타인의 삶&gt;이 오는 2025년 8월 9일부터 8월 24일까지 부산 동구 초량로에 위치한 낭만시간연구소에서 개최된다. 이번 전시는 낯선 공간과 익명의 타인을 응시하며 구축된 작가의 회화 세계를 중심으로, 타인의 삶을 바라보는 시선 속에서 자신을 발견하는 감정의 여정을 담아낸다.</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>&lt;타인의 삶&gt;, 이방인의 시선으로 기록한 풍경</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>이번 전시는 작가 최여정이 일상에서 탈주하여 머물게 된 무주라는 도시에서 출발한다. 자연과 농촌, 낯선 사람들의 동선을 관찰하던 작가는 이질적이면서도 친밀한 감정의 간극 속에서 타인의 삶을 응시했다. 작품 속 인물과 배경은 작가가 실제로 마주한 사람들에서 비롯되었지만, 회화를 통해 현실과 감정의 경계가 녹아든 하나의 내면 풍경으로 재구성된다.</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>관객은 작품을 통해 작가의 시선을 따라가며, &lsquo;그들&rsquo;의 삶을 들여다보는 동시에 타인의 풍경을 통해 자신을 마주하는 역설적 경험을 하게 된다.</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>첫 개인전, 그러나 결코 가볍지 않은 시선</p>
<p><br /></p>
<p>최여정 작가는 이번 전시를 통해 작가 인생의 첫 개인전을 시작한다. 신진작가로서의 가능성은 이미 작품 속에 구축된 견고한 감정의 세계관에서 확인할 수 있다.</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>절제된 색감과 평면의 조형성이 돋보이는 회화 작업은 보는 이로 하여금 한 발짝 물러서서 사유하게 만들고, 동시에 화면에 흡수되듯 천천히 감정의 결을 따라가게 한다. 작품은 설명하거나 해석하기보다는 느낌과 거리, 시선의 방향을 암시하는 방식으로 관객에게 말을 건넨다.</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>&ldquo;그들의 삶에 개입할 수 없었고, 무리의 일원이 될 수도 없었다. 시끌벅적했지만 조용했던 낯선 도시에서, 타인의 시선으로 바라본 삶을 그림으로 이야기해보고자 한다.&ldquo;작가노트 中</p>
<p><br /></p>
<p>&lsquo;&lt;타인의 삶&gt;은 타인을 바라보는 시선을 통해 결국 &rsquo;나&lsquo;를 되돌아보게 하는 전시이다. 이방인의 시선을 통해 구축된 회화 속 인물들은 타인이자 동시에 자화상이며, 보는 이로 하여금 경계와 감정, 기억에 대해 질문하게 만든다.</p>
<p><br /></p>
<p>&nbsp;</p>
<p><br /></p>
<p>이방인의 시선으로 그려진 그림, 당신은 당신인가요?</p>"
"숨, 방울",기타,2025-08-22,2025-08-24,,,,-,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57311,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081821195582831.gif,<p>자세한 정보는 '바로가기' 링크를 통해 확인하시기 바랍니다.</p>
칼라&터치 전,기타,2025-08-19,2025-08-24,,,,-,https://www.mcst.go.kr/kor/s_culture/culture/cultureView.jsp?pSeq=57309,http://www.culture.go.kr/upload/rdf/25/08/rdf_2025081921324414642.jpg,<p>자세한 정보는 '바로가기' 링크를 통해 확인하시기 바랍니다.</p>
