name,type,district,lat,lon,indoor,noise,romantic,budget_level,walk_score,alcohol_available,extrovert_friendly,tags,address,phone
엘빙할루카,cafe,서초구,37.419884205715505,126.98336133815066,1,2,3,2,3,no,no,"카페,디저트>빙수",서울특별시 서초구 양재동 119 1층,
MAILLET,cafe,서초구,37.47549930931995,126.93560526363137,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 서초구 반포동 106-5,
모센트 양재점,cafe,서초구,37.561489404947984,127.07363467596629,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 서초구 양재동 82-9 1층 102호,
쎄봉 크루아상 크로플마을,cafe,서초구,37.456094097823865,127.03332096069923,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 서초구 방배동 451-33 1층,
챱챱케이크,cafe,서초구,37.54623222820627,126.94479878452184,1,2,3,2,3,no,no,"카페,디저트>케이크전문",서울특별시 서초구 서초동 1656-4 104호 1층 대로변,
리에또,restaurant,서초구,37.55901852523505,126.94076502090228,1,3,3,2,3,no,yes,"이탈리아음식>스파게티,파스타전문",서울특별시 서초구 방배동 451-36,
트라가 강남역점,restaurant,서초구,37.58465998720772,127.00401349908462,1,3,3,2,3,no,yes,음식점>스페인음식,서울특별시 서초구 서초동 1321-9 2층 201호 트라가,
포폴라리타 서래마을 본점,restaurant,서초구,37.58248960145723,127.06680256892649,1,3,3,2,3,no,yes,음식점>이탈리아음식,서울특별시 서초구 반포동 96-1 성운빌딩1층 포폴라리타 서래마을 본점,
도셰프,restaurant,서초구,37.52629042768555,126.96290686459054,1,3,3,2,3,no,yes,음식점>이탈리아음식,서울특별시 서초구 반포동 707-8,
앙젤리제,restaurant,서초구,37.549277548616644,127.064176135267,1,3,3,2,3,no,yes,음식점>양식,서울특별시 서초구 방배동 454-14 2층,
듀블럭 이수역점,restaurant,서초구,37.462150000925845,127.0635027257955,1,3,3,2,3,no,yes,음식점>양식,서울특별시 서초구 방배동 421-3 1층,
쓰리버즈 센트럴시티점,restaurant,서초구,37.43342135526446,127.05345608012773,1,3,3,2,3,no,yes,음식점>브런치,서울특별시 서초구 반포동 118-3 쓰리버즈,
더플라잉팬 레드,restaurant,서초구,37.51795680836042,126.91598824837313,1,3,3,2,3,no,yes,음식점>양식,서울특별시 서초구 서초동 1317-23 지티타워 지하1층,
포시즌키친 양재천점,restaurant,서초구,37.51374758178535,127.05544636839724,1,3,3,2,3,no,yes,음식점>양식,서울특별시 서초구 양재동 85-7 1층,
파스타 트리오,restaurant,서초구,37.567529670606646,126.98866300172692,1,3,3,2,3,no,yes,음식점>양식,서울특별시 서초구 반포동 708-1 미주빌딩 102호,
비스트로누,restaurant,서초구,37.490831296799755,127.01587577531322,1,3,3,2,3,no,yes,음식점>이탈리아음식,서울특별시 서초구 반포동 92-7 3층,
플랫나인,restaurant,서초구,37.56043144891468,127.0664676696722,1,4,2,2,3,yes,yes,술집>요리주점,서울특별시 서초구 서초동 1308-15 5층,
에떼,restaurant,서초구,37.412197994356404,126.97712264870009,1,2,4,4,3,yes,no,술집>와인,서울특별시 서초구 양재동 95-8 트윈타워 1층,
무드서울,restaurant,서초구,37.55230929808955,127.00913296855659,1,2,4,4,3,yes,no,술집>와인,"서울특별시 서초구 반포동 650 솔빛섬 1층, 2층",
