place_id,name,type,district,lat,lon,indoor,noise,romantic,budget_level,walk_score,alcohol_available,extrovert_friendly,tags
p001,스타벅스 광화문점,cafe,종로구,37.571,126.976,1,3,2,2,1,no,yes,프랜차이즈 작업 실내
p002,어니언 안국,cafe,종로구,37.579,126.985,1,2,3,3,2,no,no,베이커리 감성 데이트
p003,테라로사 한남,cafe,용산구,37.536,127.001,1,3,4,4,2,no,yes,스페셜티 로맨틱
p004,북악스카이웨이 전망대,viewpoint,종로구,37.603,126.971,0,2,5,1,4,no,no,야경 드라이브 로맨틱
p005,남산서울타워,viewpoint,중구,37.551,126.988,0,4,4,3,3,no,yes,야경 관광명소
p006,서울숲,park,성동구,37.544,127.041,0,2,3,1,5,no,yes,산책 데이트 자연
p007,한강공원 뚝섬지구,park,광진구,37.528,127.067,0,3,3,1,5,yes,yes,자전거 피크닉 야외
p008,경복궁,heritage,종로구,37.579,126.977,0,2,4,3,4,no,no,전통 역사 데이트
p009,롯데월드 아쿠아리움,museum,송파구,37.511,127.098,1,3,3,4,2,no,yes,실내 데이트 동물
p010,국립현대미술관 서울,museum,종로구,37.581,126.981,1,1,3,2,3,no,no,예술 전시 조용
p011,코엑스 별마당도서관,museum,강남구,37.512,127.059,1,3,2,1,2,no,no,실내 포토존 무료
p012,동대문디자인플라자,museum,중구,37.566,127.009,1,3,3,3,3,no,yes,전시 현대적
p013,홍대 걷고싶은거리,street,마포구,37.556,126.925,0,5,2,2,5,yes,yes,야외 활기 데이트
p014,이태원 경리단길,street,용산구,37.537,126.993,0,4,3,3,4,yes,yes,맛집 데이트 야간
p015,청계천,trail,종로구,37.57,126.992,0,2,3,1,4,no,yes,산책 야간 데이트
p016,양재천 산책로,trail,서초구,37.467,127.038,0,1,4,1,5,no,no,조용 산책 연인
p017,서울식물원,park,강서구,37.569,126.836,1,2,3,2,4,no,no,자연 실내정원 데이트
p018,한옥마을 북촌,heritage,종로구,37.582,126.985,0,2,4,2,4,no,no,전통 데이트 산책
p019,남대문시장,market,중구,37.56,126.978,0,5,2,1,3,yes,yes,시장 활기 저예산
p020,망원한강공원,park,마포구,37.556,126.896,0,2,4,1,5,yes,yes,산책 야경 데이트
p021,어퍼앤언더,cafe,강남구,37.58513668710462,127.06054293090848,1,3,3,2,3,no,yes,"음식점>카페,디저트"
p022,빠니드 엠 무니,cafe,강남구,37.49432296920231,126.9958311155366,1,3,3,2,3,no,yes,"음식점>카페,디저트"
p023,스탠다드브레드 도산,cafe,강남구,37.4398252125389,126.92749408674182,1,3,3,2,3,no,yes,"카페,디저트>베이커리"
p024,셀렉티드닉스,cafe,강남구,37.439147989669785,127.09350473384646,1,3,3,2,3,no,yes,"음식점>카페,디저트"
p025,바샤커피 청담 플래그십 스토어,cafe,강남구,37.535921506188856,127.04446770881046,1,3,3,2,3,no,yes,"음식점>카페,디저트"
p026,로마옥 도곡,restaurant,강남구,37.5657604893662,127.0359859806598,1,3,3,2,3,no,yes,음식점>양식
p027,어썸로즈 가로수길점,restaurant,강남구,37.4637966476014,126.99570165374108,1,3,3,2,3,no,yes,음식점>이탈리아음식
p028,어거스트힐 강남점,restaurant,강남구,37.42814634358308,126.91738381105608,1,3,3,2,3,no,yes,음식점>양식
p029,파크 하얏트 서울 코너스톤,restaurant,강남구,37.49272523304388,126.94300483837074,1,3,3,2,3,no,yes,음식점>이탈리아음식
p030,더미뇽 서울,restaurant,강남구,37.481194297195294,126.9159687470211,1,3,3,2,3,no,yes,음식점>양식
p031,마일드하이클럽 압구정점,cafe,강남구,37.49005696741929,127.03218175135478,1,3,3,2,3,no,yes,브런치카페
p032,달링키친,restaurant,강남구,37.50303733612709,126.90472333100016,1,3,3,2,3,no,yes,음식점>양식
p033,아베크 청담,restaurant,강남구,37.423617229357056,126.90809016958757,1,3,3,2,3,no,yes,음식점>양식
p034,꽁티드툴레아,restaurant,강남구,37.457729867834544,126.96328417091128,1,3,3,2,3,no,yes,음식점>브런치
p035,르브런쉭 신사점,restaurant,강남구,37.59407469127954,126.92382165169724,1,3,3,2,3,no,yes,음식점>브런치
p036,코코넛박스 카페,cafe,마포구,37.44842779369612,126.91457498266988,1,3,3,2,3,no,yes,"음식점>카페,디저트"
p037,주디마리 홍대점,cafe,마포구,37.479075707821984,126.90665102380216,1,3,3,2,3,no,yes,"음식점>카페,디저트"
p038,어반플랜트 합정,cafe,마포구,37.45862263595569,127.01978782369876,1,3,3,2,3,no,yes,브런치카페
p039,모닝캄커피랩 연남점,cafe,마포구,37.49646959782086,127.091146330817,1,3,3,2,3,no,yes,"음식점>카페,디저트"
p040,포닐,cafe,마포구,37.54549780438919,127.0212176039762,1,3,3,2,3,no,yes,"카페,디저트>베이커리"
p041,연남동와이탑,restaurant,마포구,37.471428614861715,126.98051325111624,1,3,3,2,3,no,yes,음식점>양식
p042,빌라 더 다이닝 홍대본점,restaurant,마포구,37.515448887222696,127.04914386781044,1,3,3,2,3,no,yes,음식점>양식
p043,레스토랑괴르츠,restaurant,마포구,37.483063379478175,127.07863391420804,1,3,3,2,3,no,yes,음식점>양식
p044,아우룸,restaurant,마포구,37.5891715949144,126.99958343756336,1,3,3,2,3,no,yes,음식점>이탈리아음식
p045,알페로 홍대,restaurant,마포구,37.5821686430467,126.92441656816942,1,3,3,2,3,no,yes,음식점>양식
p046,오뗄드꾸뜨,restaurant,마포구,37.56505472589274,127.06743275711266,1,3,3,2,3,no,yes,음식점>양식
p047,히포 브런치하우스,cafe,마포구,37.49628500305122,127.01142275059816,1,3,3,2,3,no,yes,"음식점>카페,디저트"
p048,해옫 합정,cafe,마포구,37.57703751455629,126.9957695478582,1,3,3,2,3,no,yes,브런치카페
p049,잼잼,cafe,마포구,37.5971234489708,126.99964939692282,1,3,3,2,3,no,yes,"음식점>카페,디저트"
p050,이도림 블로트커피 X 베이크 서촌 본점,cafe,종로구,37.529955637239176,126.93573456833715,1,3,3,2,3,no,yes,"음식점>카페,디저트"
p051,산1-1,cafe,종로구,37.59920583380718,126.9776916231509,1,3,3,2,3,no,yes,"음식점>카페,디저트"
p052,담장옆에국화꽃 안녕인사동점,cafe,종로구,37.43713431345249,126.97581319289124,1,3,3,2,3,no,yes,"음식점>카페,디저트"
p053,아사이퍼플 광화문디타워점,cafe,종로구,37.40132818547685,126.95575036475022,1,3,3,2,3,no,yes,"음식점>카페,디저트"
p054,마띠에르,cafe,종로구,37.56476821137843,127.02679235202484,1,3,3,2,3,no,yes,"음식점>카페,디저트"
p055,빠리가옥,restaurant,종로구,37.43436710559201,126.9876351545795,1,3,3,2,3,no,yes,음식점>프랑스음식
p056,라 스위스 서촌,restaurant,종로구,37.582420773479264,127.04679997929004,1,3,3,2,3,no,yes,음식점>양식
p057,루뽀,restaurant,종로구,37.53358458130036,127.00412102552174,1,3,3,2,3,no,yes,음식점>양식
p058,까사 이태리아,restaurant,종로구,37.46427347413867,126.91865439528642,1,3,3,2,3,no,yes,음식점>이탈리아음식
p059,독립밀방 본점,restaurant,종로구,37.5794866562274,127.04464086585372,1,3,3,2,3,no,yes,음식점>양식
p060,익선잡방,restaurant,종로구,37.45017934640581,127.02021746338464,1,3,3,2,3,no,yes,음식점>브런치
p061,도토리가든 안국점,cafe,종로구,37.549844757164536,126.96154203883654,1,3,3,2,3,no,yes,"음식점>카페,디저트"
p062,도트블랭킷 안국점,restaurant,종로구,37.54358385823534,126.95245299499936,1,3,3,2,3,no,yes,음식점>브런치
p063,노우즈종로 풍경점,restaurant,종로구,37.508532068531295,126.9196731083492,1,3,3,2,3,no,yes,음식점>양식
p064,나폴리회관 강남역점,restaurant,강남구,37.58965147504264,127.02301941388468,1,3,3,2,3,no,yes,음식점>이탈리아음식
p065,후추포인트,restaurant,강남구,37.40362582600801,127.03387449953938,1,3,3,2,3,no,yes,음식점>양식
p066,도치피자 강남,restaurant,강남구,37.563450687399936,127.05189565108888,1,3,3,2,3,no,yes,음식점>피자
p067,꾸우덕 선릉 본점,restaurant,강남구,37.52030660718108,126.9323677387,1,3,3,2,3,no,yes,음식점>양식
p068,리커테이션,restaurant,강남구,37.516308225155555,127.0540751736322,1,2,4,4,3,yes,no,술집>와인
p069,청담나인,restaurant,강남구,37.548159274291926,127.08343814183658,1,2,4,4,3,yes,no,술집>와인
p070,사브서울,restaurant,강남구,37.57160035052169,126.92840083579776,1,2,4,4,3,yes,no,술집>와인
p071,일곱잔,restaurant,강남구,37.41783736936447,126.93706272451227,1,2,4,4,3,yes,no,술집>와인
p072,와인코르크 강남점,restaurant,강남구,37.5308540116932,127.09566747616556,1,2,4,4,3,yes,no,술집>와인
p073,마초쉐프 강남본점,restaurant,강남구,37.53738841364156,127.0907448853197,1,3,3,2,3,no,yes,양식>이탈리아음식
p074,멜팅샵 치즈룸 파르나스몰,restaurant,강남구,37.40079903340788,126.96106271609868,1,3,3,2,3,no,yes,음식점>이탈리아음식
p075,부베트,restaurant,강남구,37.419813334829655,127.0726749542226,1,3,3,2,3,no,yes,음식점>프랑스음식
p076,BISTROT de YOUNTVILLE,restaurant,강남구,37.467743767165025,127.0029428389986,1,3,3,2,3,no,yes,음식점>프랑스음식
p077,MUOKI,restaurant,강남구,37.46868117650709,127.099071958599,1,3,3,2,3,no,yes,음식점>프랑스음식
p078,레스토랑 알렌,restaurant,강남구,37.588108706983206,127.04389317705346,1,3,3,2,3,no,yes,음식점>프랑스음식
p079,프렌치쪽갈비 본점,restaurant,강남구,37.58066207981779,127.04475690311038,1,3,3,2,3,no,yes,"한식>육류,고기요리"
p080,트라가 가로수길점,restaurant,강남구,37.47590026823245,127.07036295662996,1,3,3,2,3,no,yes,음식점>스페인음식
p081,트라가 역삼점,restaurant,강남구,37.49027502023315,127.00486644270944,1,3,3,2,3,no,yes,음식점>스페인음식
p082,트라가 삼성점,restaurant,강남구,37.46332450862738,126.93462039263974,1,3,3,2,3,no,yes,음식점>스페인음식
